Symbol,Security,SECFilings,GICSSector,GICSSubIndustry,HeadquartersLocation,DateFirstAdded,CIK,Founded,,
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",31/8/2015,718877,2008,,
GOOGL,Alphabet Inc. (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",3/4/2014,1652044,1998,,
GOOG,Alphabet Inc. (Class C),reports,Communication Services,Interactive Media & Services,"Mountain View, California",3/4/2006,1652044,1998,,
T,AT&T Inc.,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885),,
CTL,CenturyLink Inc,reports,Communication Services,Alternative Carriers,"Monroe, Louisiana",25/3/1999,18926,1983 (1877),,
CHTR,Charter Communications,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",8/9/2016,1091667,1993,,
CMCSA,Comcast Corp.,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",18/9/2015,1166691,1963,,
DISCA,"Discovery, Inc. (Class A)",reports,Communication Services,Broadcasting,"Silver Spring, Maryland",1/3/2010,1437107,1985,,
DISCK,"Discovery, Inc. (Class C)",reports,Communication Services,Broadcasting,"Silver Spring, Maryland",7/8/2014,1437107,1985,,
DISH,Dish Network,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",13/3/2017,1001082,1980,,
EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",22/7/2002,712515,1982,,
FB,"Facebook, Inc.",reports,Communication Services,Interactive Media & Services,"Menlo Park, California",23/12/2013,1326801,2004,,
FOXA,Fox Corporation (Class A),reports,Communication Services,Movies & Entertainment,"New York, New York",1/7/2013,1308161,,,
FOX,Fox Corporation (Class B),reports,Communication Services,Movies & Entertainment,"New York, New York",18/9/2015,1308161,,,
IPG,Interpublic Group,reports,Communication Services,Advertising,"New York, New York",1/10/1992,51644,1961 (1930),,
LYV,Live Nation Entertainment,reports,Communication Services,Movies & Entertainment,"Beverly Hills, California",23/12/2019,1335258,2010,,
NFLX,Netflix Inc.,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",20/12/2010,1065280,1997,,
NWSA,News Corp. Class A,reports,Communication Services,Publishing,"New York, New York",1/8/2013,1564708,2013 (1980),,
NWS,News Corp. Class B,reports,Communication Services,Publishing,"New York, New York",18/9/2015,1564708,2013 (1980),,
OMC,Omnicom Group,reports,Communication Services,Advertising,"New York, New York",,29989,1986,,
TMUS,T-Mobile US,reports,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",15/7/2019,1283699,1994,,
TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,"New York, New York",19/3/2018,946581,1993,,
DIS,The Walt Disney Company,reports,Communication Services,Movies & Entertainment,"Burbank, California",30/6/1976,1001039,1923,,
TWTR,"Twitter, Inc.",reports,Communication Services,Interactive Media & Services,"San Francisco, California",7/6/2018,1418091,2006,,
VZ,Verizon Communications,reports,Communication Services,Integrated Telecommunication Services,"New York, New York",30/11/1983,732712,1983 (1877),,
VIAC,ViacomCBS,reports,Communication Services,Movies & Entertainment,"New York, New York",,1339947,2019 (1952),,
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",9/7/2015,1158449,1932,,
AMZN,Amazon.com Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",18/11/2005,1018724,1994,,
APTV,Aptiv PLC,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",24/12/2012,1521332,1994,,
AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",2/1/1997,866787,1979,,
BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",29/6/1999,764478,1966,,
BKNG,Booking Holdings Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",6/11/2009,1075531,1996,,
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",19/12/2011,908255,1880,,
KMX,Carmax Inc,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",28/6/2010,1170010,1993,,
CCL,Carnival Corp.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",22/12/1998,815097,1972,,
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Newport Beach, California",28/4/2011,1058090,1993,,
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",22/6/2005,882184,1978,,
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,1938,,
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",3/12/2012,29534,1939,,
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",19/12/2011,935703,1986,,
DPZ,Domino's Pizza,reports,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",12/5/2020,1286681,1960,,
EBAY,eBay Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,1065088,1995,,
EXPE,Expedia Group,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2/10/2007,1324424,1996,,
F,Ford Motor Company,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",4/3/1957,37996,1903,,
GPS,Gap Inc.,reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",31/8/1986,39911,1969,,
GRMN,Garmin Ltd.,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,1121788,1989,,
GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/2013,1467858,1908,,
GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",31/12/1973,40987,1925,,
HRB,H&R Block,reports,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",30/11/1986,12659,1955,,
HBI,Hanesbrands Inc,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",20/3/2015,1359841,2000,,
HAS,Hasbro Inc.,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",30/9/1984,46080,1923,,
HLT,Hilton Worldwide Holdings Inc,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",19/6/2017,1585689,1919,,
HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",31/3/1988,354950,1978,,
KSS,Kohl's Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,885639,1962,,
LB,L Brands Inc.,reports,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",30/9/1983,701985,1963,,
LVS,Las Vegas Sands,reports,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",3/10/2019,1300514,1988,,
LEG,Leggett & Platt,reports,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,58492,1883,,
LEN,Lennar Corp.,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",4/10/2005,920760,1954,,
LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",23/5/2016,1065696,1998,,
LOW,Lowe's Cos.,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",29/2/1984,60667,1904/1946/1959,,
MAR,Marriott Int'l.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286,1927,,
MCD,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,"Chicago, Illinois",30/6/1970,63908,1940,,
MGM,MGM Resorts International,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",26/7/2017,789570,1986,,
MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",23/12/2013,851968,1878,,
NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",30/4/1989,814453,1903,,
NKE,"Nike, Inc.",reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",30/11/1988,320187,1964,,
NCLH,Norwegian Cruise Line Holdings,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",13/10/2017,1513761,2011 (1966),,
NVR,"NVR, Inc.",reports,Consumer Discretionary,Homebuilding,"Reston, Virginia",26/9/2019,906163,1980,,
ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",27/3/2009,898173,1957,,
PHM,PulteGroup,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",30/4/1984,822416,1956,,
PVH,PVH Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",15/2/2013,78239,1881,,
RL,Ralph Lauren Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/2/2007,1037038,1967,,
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Dublin, California",21/12/2009,745732,1982,,
RCL,Royal Caribbean Group,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",5/12/2014,884887,1997,,
SBUX,Starbucks Corp.,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224,1971,,
TPR,"Tapestry, Inc.",reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132,2017,,
TGT,Target Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",31/12/1976,27419,1902,,
TIF,Tiffany & Co.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",21/6/2000,98246,1837,,
TJX,TJX Companies Inc.,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",30/9/1985,109198,1987,,
TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",24/1/2014,916365,1938,,
ULTA,Ulta Beauty,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",18/4/2016,1403568,1990,,
UAA,Under Armour (Class A),reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",1/5/2014,1336917,1996,,
UA,Under Armour (Class C),reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",8/4/2016,1336917,1996,,
VFC,VF Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",30/6/1979,103379,1899,,
WHR,Whirlpool Corp.,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,1911,,
WYNN,Wynn Resorts Ltd,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",14/11/2008,1174922,2002,,
YUM,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",6/10/1997,1041061,1997,,
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,"Richmond, Virginia",4/3/1957,764180,1985,,
ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",29/7/1981,7084,1902,,
BF.B,Brown-Forman Corp.,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",31/10/1982,14693,1870,,
CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",4/3/1957,16732,1869,,
CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",29/12/2015,313927,1847,,
KO,Coca-Cola Company,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",4/3/1957,21344,1886,,
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York, New York",4/3/1957,21665,1806,,
CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",31/8/1983,23217,1919,,
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",1/7/2005,16918,1945,,
COST,Costco Wholesale Corp.,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1/10/1993,909832,1976,,
COTY,"Coty, Inc",reports,Consumer Staples,Personal Products,"New York, New York",3/10/2016,1024305,1904,,
EL,Estée Lauder Companies,reports,Consumer Staples,Personal Products,"New York, New York",5/1/2006,1001250,1946,,
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",31/3/1969,40704,1856,,
HRL,Hormel Foods Corp.,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",4/3/2009,48465,1891,,
SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",6/11/2008,91419,1897,,
K,Kellogg Co.,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067,1906,,
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",4/3/1957,55785,1872,,
KHC,Kraft Heinz Co,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",6/7/2015,1637459,2015 (1869),,
KR,Kroger Co.,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",4/3/1957,56873,1883,,
LW,Lamb Weston Holdings Inc,reports,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",3/12/2018,1679273,2016 (1950),,
MKC,McCormick & Co.,reports,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",,63754,1889,,
TAP,Molson Coors Beverage Company,reports,Consumer Staples,Brewers,"Denver, Colorado",30/6/1976,24545,"2005 (Molson 1786, Coors 1873)",,
MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2/10/2012,1103982,2012,,
MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,"Corona, California",28/6/2012,865752,2012 (1935),,
PEP,PepsiCo Inc.,reports,Consumer Staples,Soft Drinks,"Purchase, New York",4/3/1957,77476,1898,,
PM,Philip Morris International,reports,Consumer Staples,Tobacco,"New York, New York",31/3/2008,1413329,2008 (1847),,
PG,Procter & Gamble,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",4/3/1957,80424,1837,,
SYY,Sysco Corp.,reports,Consumer Staples,Food Distributors,"Houston, Texas",31/12/1986,96021,1969,,
CLX,The Clorox Company,reports,Consumer Staples,Household Products,"Oakland, California",31/3/1969,21076,1913,,
HSY,The Hershey Company,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",4/3/1957,47111,1894,,
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493,1935,,
WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",31/12/1979,1618921,2014,,
WMT,Walmart,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",31/8/1982,104169,1962,,
APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",28/7/1997,6769,1954,,
BKR,Baker Hughes Co,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/2017,1701605,2017,,
COG,Cabot Oil & Gas,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",23/6/2008,858470,1989,,
CVX,Chevron Corp.,reports,Energy,Integrated Oil & Gas,"San Ramon, California",4/3/1957,93410,1879,,
CXO,Concho Resources,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",22/2/2016,1358071,2004,,
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",4/3/1957,1163165,2002,,
DVN,Devon Energy,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",30/8/2000,1090012,1971,,
FANG,Diamondback Energy,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",3/12/2018,1539838,2007,,
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2/11/2000,821189,1999,,
XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,"Irving, Texas",4/3/1957,34088,1999,,
HAL,Halliburton Co.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",4/3/1957,45012,1919,,
HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,"New York, New York",31/5/1984,4447,1919,,
HFC,HollyFrontier Corp,reports,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",18/6/2018,48039,1947,,
KMI,Kinder Morgan,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",25/5/2012,1506307,1997,,
MRO,Marathon Oil Corp.,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1/5/1991,101778,1887,,
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",1/7/2011,1510295,2009 (1887),,
NOV,National Oilwell Varco Inc.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",14/3/2005,1021860,1841,,
NBL,Noble Energy,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",8/10/2007,72207,1932,,
OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",31/12/1982,797468,1920,,
OKE,ONEOK,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",15/3/2010,1039684,1906,,
PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",1/5/2012,1534701,2012 (1917),,
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",24/9/2008,1038357,1997,,
SLB,Schlumberger Ltd.,reports,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",31/3/1965,87347,1926,,
FTI,TechnipFMC,reports,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",5/6/2009,1681459,2017 (1958),,
VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,1980,,
WMB,Williams Companies,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",31/3/1975,107263,1908,,
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,"Columbus, Georgia",28/5/1999,4977,1955,,
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",13/7/1995,899051,1931,,
AXP,American Express Co,reports,Financials,Consumer Finance,"New York, New York",30/6/1976,4962,1850,,
AIG,American International Group,reports,Financials,Property & Casualty Insurance,"New York, New York",31/3/1980,5272,1919,,
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",3/10/2005,820027,1894,,
AON,Aon plc,reports,Financials,Insurance Brokers,"London, United Kingdom",23/4/1996,315293,1982 (1919),,
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Itasca, Illinois",31/5/2016,354190,1927,,
AIZ,Assurant,reports,Financials,Multi-line Insurance,"New York, New York",10/4/2007,1267238,1892,,
BAC,Bank of America Corp,reports,Financials,Diversified Banks,"Charlotte, North Carolina",30/6/1976,70858,1998 (1923 / 1874),,
BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",16/2/2010,1067983,1839,,
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York, New York",4/4/2011,1364742,1988,,
COF,Capital One Financial,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",1/7/1998,927628,1935,,
CBOE,Cboe Global Markets,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",1/3/2017,1374310,1973,,
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,"San Francisco, California",2/6/1997,316709,1971,,
CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",15/7/2010,896159,1985,,
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",18/12/1997,20286,1950,,
